Training  for 1 epoch(s)
Epoch 1
Iteration:  800 	s:9.7832 	Average Loss:  14.015225463099608
Iteration:  900 	s:8.1383 	Average Loss:  14.382221763524981
Iteration:  1000 	s:8.2646 	Average Loss:  14.748329549729656
Iteration:  1100 	s:8.2226 	Average Loss:  14.635470429658712
Iteration:  1200 	s:8.8017 	Average Loss:  13.439757541362033
Iteration:  1300 	s:8.6108 	Average Loss:  13.827550399750304
Iteration:  1400 	s:9.7987 	Average Loss:  14.102623177990145
Iteration:  1500 	s:9.3188 	Average Loss:  12.675647865701317
Iteration:  1600 	s:8.1525 	Average Loss:  14.316433484218848
Iteration:  1700 	s:8.4981 	Average Loss:  14.380910352859475
Iteration:  1800 	s:8.1842 	Average Loss:  13.788731202948679
Iteration:  1900 	s:8.5832 	Average Loss:  13.626749495249085
Iteration:  2000 	s:8.7822 	Average Loss:  12.97185665849581
Iteration:  2100 	s:8.7561 	Average Loss:  13.694921320099224
Iteration:  2200 	s:8.1920 	Average Loss:  14.700712047237722
Iteration:  2300 	s:8.6488 	Average Loss:  13.031209572888764
Iteration:  2400 	s:8.3987 	Average Loss:  13.061619641817956
Iteration:  2500 	s:8.2962 	Average Loss:  14.082622885759752
Iteration:  2600 	s:8.5681 	Average Loss:  14.101014538928702
Iteration:  2700 	s:8.1948 	Average Loss:  14.697031963933078
Iteration:  2800 	s:8.8579 	Average Loss:  13.78219337256608
Iteration:  2900 	s:8.5997 	Average Loss:  14.224550194982262
Iteration:  3000 	s:8.5870 	Average Loss:  14.826885179318301
Iteration:  3100 	s:8.5546 	Average Loss:  13.904381042774599
Iteration:  3200 	s:8.5360 	Average Loss:  15.212654949370581
Iteration:  3300 	s:8.3365 	Average Loss:  13.8337700243665
Iteration:  3400 	s:8.7777 	Average Loss:  12.988380182757819
Iteration:  3500 	s:8.3671 	Average Loss:  13.619417839627554
Iteration:  3600 	s:8.4441 	Average Loss:  13.004866038895996
Iteration:  3700 	s:8.6514 	Average Loss:  14.274803532417689
Iteration:  3800 	s:8.4584 	Average Loss:  12.913018477726578
Iteration:  3900 	s:8.7527 	Average Loss:  13.438426079265609
Iteration:  4000 	s:8.5167 	Average Loss:  13.19741875791906
Iteration:  4100 	s:8.6560 	Average Loss:  13.237596423867931
Iteration:  4200 	s:8.3666 	Average Loss:  13.138692343737773
Iteration:  4300 	s:8.5820 	Average Loss:  14.547367899250066
Iteration:  4400 	s:8.9498 	Average Loss:  11.836974202301219
Iteration:  4500 	s:8.7058 	Average Loss:  13.55689136277868
Iteration:  4600 	s:8.9114 	Average Loss:  13.38722467565893
Iteration:  4700 	s:8.5355 	Average Loss:  14.737675040364095
Iteration:  4800 	s:9.2086 	Average Loss:  12.66253509568036
Iteration:  4900 	s:8.4437 	Average Loss:  14.344971347711807
Iteration:  5000 	s:8.7165 	Average Loss:  13.079061365630324
Iteration:  5100 	s:8.8084 	Average Loss:  14.434557062648064
Iteration:  5200 	s:8.6666 	Average Loss:  13.031932442560638
Iteration:  5300 	s:8.8967 	Average Loss:  12.923424162659638
Iteration:  5400 	s:8.7181 	Average Loss:  12.850324508119224
Iteration:  5500 	s:8.7603 	Average Loss:  12.417950892876686
Iteration:  5600 	s:8.9916 	Average Loss:  13.635694968513988
Iteration:  5700 	s:8.7095 	Average Loss:  12.67818507688105
Iteration:  5800 	s:8.8986 	Average Loss:  13.787230041213165
Iteration:  5900 	s:8.6956 	Average Loss:  13.568596959691341
Iteration:  6000 	s:8.9145 	Average Loss:  13.553269350677567
Iteration:  6100 	s:8.6383 	Average Loss:  13.664461186770184
Iteration:  6200 	s:8.7586 	Average Loss:  13.344154170267124
Iteration:  6300 	s:9.1031 	Average Loss:  13.195721823945487
Iteration:  6400 	s:8.6960 	Average Loss:  13.856813752371652
Iteration:  6500 	s:9.1154 	Average Loss:  12.706136624514912
Iteration:  6600 	s:9.0364 	Average Loss:  13.72152813658102
Iteration:  6700 	s:8.8148 	Average Loss:  13.549041649214765
Iteration:  6800 	s:9.5763 	Average Loss:  13.705810660570696
Iteration:  6900 	s:12.2299 	Average Loss:  12.90500569479525
Iteration:  7000 	s:10.9889 	Average Loss:  14.18206628553552
Iteration:  7100 	s:8.9411 	Average Loss:  13.632669212072926
Iteration:  7200 	s:8.8175 	Average Loss:  13.747291240282188
Iteration:  7300 	s:9.1150 	Average Loss:  13.910965099986479
Iteration:  7400 	s:8.9026 	Average Loss:  13.538605605047035
Iteration:  7500 	s:8.8927 	Average Loss:  15.260595660153594
Iteration:  7600 	s:8.9702 	Average Loss:  13.33636683786272
Iteration:  7700 	s:8.8349 	Average Loss:  14.129859289452263
Iteration:  7800 	s:9.2676 	Average Loss:  13.552725209127953
Iteration:  7900 	s:9.3005 	Average Loss:  13.553274137526587
Iteration:  8000 	s:9.2738 	Average Loss:  14.215466755684288
Iteration:  8100 	s:8.8139 	Average Loss:  14.564845038950265
Iteration:  8200 	s:8.9532 	Average Loss:  13.527416804544469
Iteration:  8300 	s:9.3215 	Average Loss:  14.293494132552121
Iteration:  8400 	s:9.4139 	Average Loss:  13.143008186295473
Iteration:  8500 	s:11.1927 	Average Loss:  13.844535195547927
Iteration:  8600 	s:10.6906 	Average Loss:  13.687312581986028
Iteration:  8700 	s:11.3400 	Average Loss:  12.507066996525827
Iteration:  8800 	s:22.0004 	Average Loss:  15.043702371362404
Iteration:  8900 	s:13.0299 	Average Loss:  13.017234322074648
Iteration:  9000 	s:11.3407 	Average Loss:  13.098489475753004
Iteration:  9100 	s:11.4382 	Average Loss:  14.855496516097155
Iteration:  9200 	s:9.9432 	Average Loss:  13.834313710518012
Iteration:  9300 	s:9.3692 	Average Loss:  14.703540756273837
